Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2021-01-09 23:05:58 +0000,Bulgarian Split Squat, 10,22.67964547178199,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-09 23:05:58 +0000,Seated Tricep Press, 11,11.339822735890994,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Seated Tricep Press, 11,11.339822735890994,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Seated Tricep Press, 11,11.339822735890994,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Wide Grip Lat Pulldown, 12,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Wide Grip Lat Pulldown, 12,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Wide Grip Lat Pulldown, 12,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-07 23:13:28 +0000,Dumbbell Bicep Curl, 4,14.741769556658292,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-07 23:13:28 +0000,Dumbbell Bicep Curl, 4,14.741769556658292,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-07 23:13:28 +0000,Dumbbell Bicep Curl, 4,14.741769556658292,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-07 23:13:28 +0000,Dumbbell Bicep Curl, 4,14.741769556658292,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-07 23:13:28 +0000,Dumbbell Bicep Curl, 4,14.741769556658292,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-07 23:13:28 +0000,Barbell Bench Press, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-07 23:13:28 +0000,Barbell Bench Press, 8,40.82336184920758,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-07 23:13:28 +0000,Barbell Bench Press, 8,49.895220037920375,0.0,0.0,0.0,0.0,false,, 1.0
